R,E,V,pos,vis,HG,HM,HS,VG,VM,VS,D,hs,hi
3,1,2,PD,R,0,0,0,90,59,48,11.508,1.5,1.495
3,1,2,PI,R,179,59,56,269,0,9,11.508,1.5,1.495
3,1,2,PD,V,199,6,38,88,7,40,13.204,1.5,1.495
3,1,2,PI,V,19,6,35,271,52,5,13.204,1.5,1.495
1,2,3,PD,R,0,0,0,91,58,56,13.2,1.5,1.533
1,2,3,PI,R,179,59,54,268,0,54,13.2,1.5,1.533
1,2,3,PD,V,351,5,21,91,33,29,24.358,1.5,1.533
1,2,3,PI,V,171,5,19,268,26,14,24.358,1.5,1.533
2,3,1,PD,R,0,0,0,88,31,51,24.361,1.5,1.51
2,3,1,PI,R,180,0,3,271,28,1,23.361,1.5,1.51
2,3,1,PD,V,349,46,49,88,59,49,11.505,1.5,1.51
2,3,1,PI,V,169,46,53,270,59,51,11.505,1.5,1.51
